key,title,author,year,type,volume,issue,pages,journal,journalShort,publisher,doi,url,abstract,keywords,citedBy,quality,area,subArea,approach,AI,AIsub,data,participants,note
akinyelu2022,Convolutional Neural Network-Based Technique for Gaze Estimation on Mobile Devices,"Akinyelu, Andronicus A.; Blignaut, Pieter",2022,journalArticle,4,,,Frontiers in Artificial Intelligence,,Frontiers Media SA,10.3389/frai.2021.796825,https://doi.org/10.3389/frai.2021.796825,"Eye tracking is becoming a very popular, useful, and important technology. Many eye tracking technologies are currently expensive and only available to large corporations. Some of them necessitate explicit personal calibration, which makes them unsuitable for use in real-world or uncontrolled environments. Explicit personal calibration can also be cumbersome and degrades the user experience. To address these issues, this study proposes a Convolutional Neural Network (CNN) based calibration-free technique for improved gaze estimation in unconstrained environments. The proposed technique consists of two components, namely a face component and a 39-point facial landmark component. The face component is used to extract the gaze estimation features from the eyes, while the 39-point facial landmark component is used to encode the shape and location of the eyes (within the face) into the network. Adding this information can make the network learn free-head and eye movements. Another CNN model was designed in this study primarily for the sake of comparison. The CNN model accepts only the face images as input. Different experiments were performed, and the experimental result reveals that the proposed technique outperforms the second model. Fine-tuning was also performed using the VGG16 pre-trained model. Experimental results show that the fine-tuned results of the proposed technique perform better than the fine-tuned results of the second model. Overall, the results show that 39-point facial landmarks can be used to improve the performance of CNN-based gaze estimation models.",computer vision; Convolutional Neural Network; eye tracking; gaze estimation; mobile device,12,Q3,Saliency/visual importance,,Computer vision,deep learning,,Video/facial expressions,yes,gaze estimation; computer vision aproach; images with metadata; model training; estimate gaze patterns; CNN based calibration-free technique for improved gaze estimation in unconstrained environments; mobile
al-sakran2021,Usability and Accessibility Assessment of Saudi Arabia Mobile E-Government Websites,"Al-Sakran, Hasan O.; Alsudairi, Mohammed A.",2021,journalArticle,9,,48254 – 48275,IEEE Access,,IEEE,10.1109/ACCESS.2021.3068917,https://doi.org/10.1109/ACCESS.2021.3068917,"The rapid spread of smart mobile technology is transforming the way how governments provide information and services to their citizens. We all are rely more on our devices, namely smartphones, laptops, or desktop to get information and a wide range of services from government websites. Such heavy usage of government websites results in an increased need for efficient and effective delivery of government services. Therefore, mobile government websites' usability and accessibility are essential dimensions that determine the quality and accessibility of mobile e-government. The main objective of this research is to analyze the accessibility and usability aspects of selected public sector websites in Saudi Arabia. This study investigates how well the Saudi mobile e-government websites comply with usability standards and accessibility guidelines recommended in the Web Content Accessibility Guidelines (WCAG). Websites assessments were conducted using manual evaluation and complemented by different automated analysis tools. This study applies a number of evaluation techniques to assess Saudi government websites accessed from desktop or mobile devices, such as an automated website testing technique, mobile-friendliness testing, and content observation technique. Various tools have been used for site evaluation, such as GTmetrix (PageSpeed Score, YSlow Score), WAVE, Google mobile-friendly test, and Dareboost for mobile websites. The study uncovers shortcomings regarding non-compliance to international web standards recommendations. The findings revealed usability and accessibility problems that affect the performance of government websites. In order to improve these websites within these aspects, several recommendations were suggested for improving the usability and accessibility of websites in Saudi Arabia that will make sure different groups of citizens are satisfied with the website features and services provided by them. © 2013 IEEE.",Accessibility guidelines; Accessibility problems; Automated analysis; e-government; Government services; Government websites; Mobile e governments; Observation techniques; Regulatory compliance; Testing; Usability engineering; Web content accessibility guidelines; Web Design; Websites,37,Q2,UX/usability attributes evaluation,"usability metrics (efficiency,...)",Source code analysis (web/app crawling),none,descriptive metrics/visualizations,Source code,no,automated website qualities evaluation; web crawling data analysis; static web metrics; existing automated website testing tools usage; nan; methodology of Saudi governmental websites evaluation; mobile
aleksander2018,Method for semi-automated evaluation of user experience using brain activity,"Aleksander, B.A.I.; Fuglerud, Kristin S.",2018,journalArticle,256,,811 – 820,Studies in Health Technology and Informatics,,IOS Press,10.3233/978-1-61499-923-2-811,https://doi.org/10.3233/978-1-61499-923-2-811,"There is a large interest in user experience today, both from a usability and accessibility point of view. However, in order to verify what the users actually like and don't like, user testing must be conducted. Traditionally, user experience is measured retrospective with surveys and interviews, but this is not the most optimal approach since it does not measure user experience in the moment and it is prone for human error because of our inaccurate memory recollection. Here we propose a method that does semi-automated evaluation of user experience by utilizing electrophysiological equipment that monitors electrical activity of the brain. We describe an approach that together with brain activity monitoring will collect and quantify user experience in a non-intrusive manner. We demonstrate the method by showing how a low cost device can record brain activity during a user test, and auto-detect where the user has difficulties understand or navigating a solution. All this is done in an unsupervised manner, but an observer must still verify the feedback with the actual user to remove false positives. Our method is not limited to digital solutions and can also be used for evaluating user experience of physical installations. © 2018 The authors and IOS Press.",Usability; User experience; automation; Automation; Surveys; Brain; Electroencephalography; Design; human; Humans; User-Computer Interface; human experiment; quantitative analysis; questionnaire; computer interface; Surveys and Questionnaires; Universal Design; Retrospective Studies; retrospective study; brain function; false positive result; conference paper; monitoring; Neurophysiology; Electrophysiology; brain; EEG; Digital solutions; Electrical activities; electroencephalogram; Low-cost devices; Optimal approaches; Semi-automated; Universal design,6,Q3,UX/usability attributes evaluation,difficulty/demand,Physiological signal analysis,none,descriptive metrics/visualizations,physiological signals,yes,"automated usability testing; brain activity analysis; EEG data, thinkaloud data, questionnaire; lab usability test; nan; semi-automated method for evaluation of user experience vie EEG; desktop"
alshahrani2024,Enhancing Online Food Service User Experience Through Advanced Analytics and Hybrid Deep Learning for Comprehensive Evaluation,"Alshahrani, Hussain; Abdullah Mengash, Hanan; Maashi, Mashael; Kouki, Fadoua; Mahmud, Ahmed; Duhayyim, Mesfer Al",2024,journalArticle,12,,70999-71009,IEEE Access,,IEEE,10.1109/ACCESS.2024.3402100,https://doi.org/10.1109/ACCESS.2024.3402100,"User experience (UX) analysis of Online Food Delivery Services (OFDS) involves features like order placement efficacy, delivery tracking reliability, ease of navigation, menu visibility, and payment process simplicity. By examining these factors, OFDS offers can optimize its platforms to improve user satisfaction, streamline ordering procedures, minimize friction points, and improve customer retention. We can gain valued visions into customer opinions and preferences by connecting sentiment analysis, recommendation systems, feature extractors, and XAI platforms. Then, this information can be employed to develop the superiority of service, personalize UX, and finally develop customer fulfilment and platform victory. This paper presents a Reptile Search Algorithm with a Hybrid DL-based UX Detection (RSAHDL-UXD) approach on OFDSs. The RSAHDL-UXD approach utilizes data preprocessing and a word2vec-based word embedding process. For UX recognition, sliced multi-head self-attention slice recurrent neural network (SMH-SASRNN) methodology is employed. Finally, the hyperparameter tuning procedure was executed using RSA. To validate the upgraded performance of the RSAHDL-UXD methodology, a wide array of models was executed on manifold online food services datasets. The experimental outcomes stated that the RSAHDL-UXD model highlighted the superior accuracy of 98.57% and 93.33% on the Swiggy and Zomato datasets, respectively.",artificial intelligence; Business; deep learning; Deep learning; Food products; Hyperparameter optimization; hyperparameter tuning; Long short term memory; Online food delivery services; Online services; Predictive models; Product delivery; Recurrent neural networks; reptile search algorithm; Search methods; Tuning,0,Q2,UX/usability attributes evaluation,sentiment,Text analysis,deep learning,,User feedback/reviews/text,yes,"user experience evaluation; text analysis approach; tweets; web crawling, model training; classifying user experience from tweet data; neural network that analyses text; -"
amrehn2019,A semi-automated usability evaluation framework for interactive image segmentation systems,"Amrehn, Mario; Steidl, Stefan; Kortekaas, Reinier; Strumia, Maddalena; Weingarten, Markus; Kowarschik, Markus; Maier, Andreas",2019,journalArticle,2019,,,International Journal of Biomedical Imaging,,Wiley,10.1155/2019/1464592,https://doi.org/10.1155/2019/1464592,"For complex segmentation tasks, the achievable accuracy of fully automated systems is inherently limited. Specifically, when a precise segmentation result is desired for a small amount of given data sets, semi-automatic methods exhibit a clear benefit for the user. The optimization of human computer interaction (HCI) is an essential part of interactive image segmentation. Nevertheless, publications introducing novel interactive segmentation systems (ISS) often lack an objective comparison of HCI aspects. It is demonstrated that even when the underlying segmentation algorithm is the same throughout interactive prototypes, their user experience may vary substantially. As a result, users prefer simple interfaces as well as a considerable degree of freedom to control each iterative step of the segmentation. In this article, an objective method for the comparison of ISS is proposed, based on extensive user studies. A summative qualitative content analysis is conducted via abstraction of visual and verbal feedback given by the participants. A direct assessment of the segmentation system is executed by the users via the system usability scale (SUS) and AttrakDiff-2 questionnaires. Furthermore, an approximation of the findings regarding usability aspects in those studies is introduced, conducted solely from the system-measurable user actions during their usage of interactive segmentation prototypes. The prediction of all questionnaire results has an average relative error of 8.9%, which is close to the expected precision of the questionnaire results themselves. This automated evaluation scheme may significantly reduce the resources necessary to investigate each variation of a prototype's user interface (UI) features and segmentation methodologies. © 2019 Mario Amrehn et al.",Article; Automated usability evaluation; automation; Automation; Average relative error; cognitive model; content analysis; Degrees of freedom (mechanics); human; Human computer interaction; Human computer interaction (HCI); image segmentation; Image segmentation; Interactive image segmentation; Interactive segmentation; Iterative methods; prediction; qualitative analysis; questionnaire; Segmentation algorithms; Semiautomatic methods; Surveys; System Usability Scale (SUS); User interfaces,11,Q3,UX/usability attributes evaluation,"usability metrics (efficiency,...)",User interaction analysis,machine learning,,User interactions,yes,"automated usability testing; participant's log data analysis; questionnaire, action logs, task results; lab usability test with data logging; predicting questionnaire data from logs; method for the comparison of interactive segmentation systems's usability; desktop"
asnawi2023,The Combination of Contextualized Topic Model and MPNet for User Feedback Topic Modeling,"Asnawi, Mohammad Hamid; Pravitasari, Anindya Apriliyanti; Herawan, Tutut; Hendrawati, Triyani",2023,journalArticle,11,,130272-130286,IEEE Access,,IEEE,10.1109/ACCESS.2023.3332644,https://doi.org/10.1109/ACCESS.2023.3332644,"In the era of big data and ubiquitous internet connectivity, user feedback data plays a crucial role in product development and improvement. However, extracting valuable insights from the vast pool of unstructured text data found in user feedback presents significant challenges. In this paper, we propose an innovative approach to tackle this challenge by combining the Contextualized Topic Model (CTM) and the Masked and Permuted Pre-training for Language Understanding (MPNet) model. Our approach aims to create a more accurate and context-aware topic model that enhances the understanding of user experiences and opinions. To achieve this, we first search for the optimal number of topics, focusing on generating distinguishable, general, and unique topics. Next, we perform hyperparameter optimization to fine-tune the model and maximize coherence metrics. The result is an exceptionally effective model that outperforms established topic modeling methods, including LSI, NMF, LDA, HDP, NeuralLDA, ProdLDA, ETM, and the default CTM, achieving the highest coherence CV score of 0.7091. In this study, the combination of CTM and MPNet has proven highly effective in the context of user feedback topic modeling. This model excels in generating coherent, distinguishable, and highly relevant user feedback topics, capturing the nuanced nature of user feedback data. The topics generated from this model include ‘Music and Audio Streaming,’ ’Application Performance,’ ‘Banking, Financial Services, and Customer Support,’ ’User Experience,’ ‘Other Topics,’ ’Application Content,’ and ‘Application Features.’ Our contributions include a powerful tool for developers to gain deeper insights, prioritize actions, and enhance user satisfaction by incorporating feedback into future product iterations. Furthermore, we introduce a new dataset as an open-source resource for further exploration and validation of user feedback analysis techniques and general natural language processing applications. With our proposed approach, we strive to drive business success, improve user experiences, and inform data-driven decision-making processes, ultimately benefiting both developers and users alike.",Analytical models; Coherence; Context modeling; Contextualized topic model; Data mining; Data models; Feedback; Measurement; MPNet; natural language processing; Natural language processing; Predictive models; topic model; user feedback,1,Q2,UX/usability attributes evaluation,topic classification,Text analysis,New LMs,LLM,User feedback/reviews/text,yes,"user feedback generation; text analysis; user reviews; web scraping, model training; topic classification from feedback data; extracting valuable insights from the vast pool of unstructured text data found in user feedback - combining the Contextualized Topic Model (CTM) and the Masked and Permuted Pre-training for Language Understanding (MPNet) model; -"
bacikova2021,Domain Usability Evaluation,"Bacikova, Michaela; Poruban, Jaroslav; Sulir, Matus; Chodarev, Sergej; Steingartner, William; Madeja, Matej",2021,journalArticle,10,16,,Electronics,,MDPI,10.3390/electronics10161963,https://doi.org/10.3390/electronics10161963,"Contemporary software systems focus on usability and accessibility from the point of view of effectiveness and ergonomics. However, the correct usage of the domain dictionary and the description of domain relations and properties via their user interfaces are often neglected. We use the term domain usability (DU) to describe the aspects of the user interface related to the terminology and domain. Our experience showed that poor domain usability reduces the memorability and effectiveness of user interfaces. To address this problem, we describe a method called ADUE (Automatic Domain Usability Evaluation) for the automated evaluation of selected DU properties on existing user interfaces. As a prerequisite to the method, metrics for formal evaluation of domain usability, a form stereotype recognition algorithm, and general application terms filtering algorithm have been proposed. We executed ADUE on several real-world Java applications and report our findings. We also provide proposals to modify existing manual usability evaluation techniques for the purpose of domain usability evaluation.",User experience; Graphical user interfaces; user experience; human-computer interaction; graphical user interfaces; Usability evaluation methods; domain usability; domain-specific languages; usability evaluation methods; Domain usability; Domain-specific languages; Human–computer interaction,5,Q3,UX/usability attributes evaluation,domain usability (ontology),Source code analysis (web/app crawling),none,descriptive metrics/visualizations,Source code,no,automated domain (ontology) usability testing; application UI elements crawling; UI elements data; ontology analysis; nan; Automatic Domain Usability Evaluation method for the automated evaluation of selected domain usability properties on UIs; desktop
baek2016,Automated model-based android GUI testing using multi-level GUI comparison criteria,"Baek, Young-Min; Bae, Doo-Hwan",2016,conferencePaper,,,238 – 249,Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering,ASE,ACM,10.1145/2970276.2970313,https://doi.org/10.1145/2970276.2970313,"Automated Graphical User Interface (GUI) testing is one of the most widely used techniques to detect faults in mobile applications (apps) and to test functionality and usability. GUI testing exercises behaviors of an application under test (AUT) by executing events on GUIs and checking whether the app behaves correctly. In particular, because Android leads in market share of mobile OS platforms, a lot of research on automated Android GUI testing techniques has been performed. Among various techniques, we focus on model-based Android GUI testing that utilizes a GUI model for systematic test generation and effective debugging support. Since test inputs are generated based on the underlying model, accurate GUI modeling of an AUT is the most crucial factor in order to generate effective test inputs. However, most modern Android apps contain a number of dynamically constructed GUIs that make accurate behavior modeling more challenging. To address this problem, we propose a set of multi-level GUI Comparison Criteria (GUICC) that provides the selection of multiple abstraction levels for GUI model generation. By using multilevel GUICC, we conducted empirical experiments to identify the inuence of GUICC on testing effectiveness. Results show that our approach, which performs model-based testing with multi-level GUICC, achieved higher effectiveness than activity-based GUI model generation. We also found that multi-level GUICC can alleviate the inherent state explosion problems of existing a single-level GUICC for behavior modeling of real-world Android apps by exibly manipulating GUICC. © 2016 ACM.",Graphical user interfaces; GUI testing; Testing; User interfaces; Software engineering; Automation; Embedded systems; Android (operating system); Model checking; Competition; Model-based test; Graphical user interfaces (GUI); Testing effectiveness; Android applications; Application under tests; Comparison criterion; State explosion problems; Android application testing; GUI comparison criteria; GUI model generation; Model-based test input generation,193,A,UI issue detection,,Source code analysis (web/app crawling),none,test execution,Source code,no,automated GUI testing; application UI elements crawling; extracted GUI information; model-based GUI testing; nan; multi-level GUI Comparison Criteria - model-based testing framework; mobile
bakiu2017,Which feature is unusable? Detecting usability and user experience issues from user reviews,"Bakiu, Elsa; Guzman, Emitza",2017,conferencePaper,,,182 – 187,"Proceedings - 2017 IEEE 25th International Requirements Engineering Conference Workshops, REW 2017",REW,IEEE,10.1109/REW.2017.76,https://doi.org/10.1109/REW.2017.76,"Usability and user experience (UUX) strongly affect software quality and success. User reviews allow software users to report UUX issues. However, this information can be difficult to access due to the varying quality of the reviews, its large numbers and unstructured nature. In this work we propose an approach to automatically detect the UUX strengths and issues of software features according to user reviews. We use a collocation algorithm for extracting the features, lexical sentiment analysis for uncovering users' satisfaction about a particular feature and machine learning for detecting the specific UUX issues affecting the software application. Additionally, we present two visualizations of the results. An initial evaluation of the approach against human judgement obtained mixed results. © 2017 IEEE.",Application programs; Computer software selection and evaluation; Data mining; Feature extraction; Learning systems; Natural language processing systems; Requirements engineering; Software Evolution; Text mining; Usability; User experience; User feedback,64,,UX/usability issue detection,topic classification,Text analysis,"NLP, machine learning",,User feedback/reviews/text,yes,automated usability issue detection; text analysis (NTLK and sentiment); user reviews; web crawling; classification of found issues into categories; approach to automatically detect the UUX strengths and issues of software features according to user reviews; -
batch2024,uxSense: Supporting User Experience Analysis with Visualization and Computer Vision,"Batch, Andrea; Ji, Yipeng; Fan, Mingming; Zhao, Jian; Elmqvist, Niklas",2024,journalArticle,30,7,3841-3856,IEEE Transactions on Visualization and Computer Graphics,,IEEE,10.1109/TVCG.2023.3241581,https://doi.org/10.1109/TVCG.2023.3241581,"Analyzing user behavior from usability evaluation can be a challenging and time-consuming task, especially as the number of participants and the scale and complexity of the evaluation grows. We propose uxSense, a visual analytics system using machine learning methods to extract user behavior from audio and video recordings as parallel time-stamped data streams. Our implementation draws on pattern recognition, computer vision, natural language processing, and machine learning to extract user sentiment, actions, posture, spoken words, and other features from such recordings. These streams are visualized as parallel timelines in a web-based front-end, enabling the researcher to search, filter, and annotate data across time and space. We present the results of a user study involving professional UX researchers evaluating user data using uxSense. In fact, we used uxSense itself to evaluate their sessions.",Annotations; computer vision; Data visualization; deep learning; evaluation; Feature extraction; Gaze tracking; machine learning; Measurement; Usability; video analytics; visual analytics; Visual analytics; Visualization,8,Q1,UX/usability attributes evaluation,sentiment,"User interaction analysis, Text analysis, Audio analysis, Computer vision","NLP, machine learning",,"User interactions, Audio/speech, Video/facial expressions",yes,"automated usabilty testing; computer vision, signal processing, text analysis, participant's log data analysis; video, audio recordings, user interactions, task results; usability test; nan; visual analytics system using machine learning methods to extract user behavior from audio and video recordings; desktop"
