key,title,author,year,type,volume,issue,pages,journal,journalShort,publisher,doi,url,abstract,keywords,citedBy,quality,area,systematic,publications,automatedUsability
abbas2022,User Experience Design Using Machine Learning: A Systematic Review,"Abbas, Abdallah M. H.; Ghauth, Khairil Imran; Ting, Choo-Yee",2022,journalArticle,10,,51501-51514,IEEE Access,,IEEE,10.1109/ACCESS.2022.3173289,https://doi.org/10.1109/ACCESS.2022.3173289,"User experience (UX) is the key to increased productivity by enhancing the usability and interactivity of the product. Machine learning (ML) solutions have raised user and academic awareness of technical innovation. As a result, ML is becoming increasingly popular to improve the quality of UX. Several investigations have highlighted a potential lack of studies on the overall challenges and recommendations for UX using ML. Therefore, more attention should be paid to ML’s existence and potential applications across various applications to get the most out of ML techniques to improve the UX design process. To this objective, a systematic review of the literature was performed as to determine the challenges faced by UX designers when incorporating ML in their design process. Recommendations that help UX designers incorporate ML into UX design will be highlighted. Furthermore, the PRISMA approach is used (a process that has been established in the literature), to restrict the chance of bias at the selection stage. Relevant articles in the following four databases were searched: IEEE Xplore, Scopus, Web of Science, and ACM. The findings revealed that the number of publications on issues linked to UX with ML had advanced exponentially. This review highlights the challenges, recommendations, tools, algorithms, techniques and datasets used in different studies. In addition, suggestions are given for future investigations.",Databases; ED; experience design; Graphical user interfaces; HCI; Libraries; machine learning; Machine learning; Metadata; ML; Systematics; user behavior; User experience; user interaction; UX; UX design,22,Q2,"ML aplications in the UX area - algorithms, techniques",yes,18,no
abuaddous2022,Automated User Experience (UX) Testing for Mobile Application: Strengths and Limitations,"Abuaddous, Hayfa. Y.; Saleh, Ashraf Mousa; Enaizan, Odai; Ghabban, Fahad; Al-Badareen, Anas Bassam",2022,journalArticle,16,4,30 – 45,International Journal of Interactive Mobile Technologies,,IAOE,10.3991/ijim.v16i04.26471,https://doi.org/10.3991/ijim.v16i04.26471,"User Experience (UX) evaluation has a significant importance for any interactive application. Mobile device applications have additional limitations to convey good user experiences (UX) due to the usage and features of mobile devices in ubiquitous computing contexts. There are a lot of automated tools available for evaluating, such applications particularly developed for Android and iOS. Automated UX evaluation provides a number of strengths which are able to overcome the limitations of non-automated (moderated) counterparts. Automated UX evaluation is regarded as unexplored field, especially when it is adopted for the UX evaluation of complex mobile application. Despite these, automated UX evaluation tools are unexplored and should only be used in coupling with traditional UX evaluation techniques. Hence, this study aims to discuss the literature in automated UX evaluation and to highlight the UX measurements that merit further investigation. This paper presents the most fre-quently used automated UX evaluation tools for mobile applications. Therefore, the study analyzes existing automated UX tools and frameworks and identifies which UX attributes and measurements of automated UX evaluation are likely to be of use in future research. Moreover, we discuss the strengths and limitations of automated UX evaluation methods for mobile applications. Finally, the paper provides an overview of automated UX evaluation techniques and tools. It also presents the strengths and limitations for comparing various evaluation methods. © 2022,International Journal of Interactive Mobile Technologies. All Rights Reserved.",Automated ux evaluation; Mobile applications; Moderated ux evaluation; User experience (ux); Ux evaluation,16,Q3,Mobile automated usability evalution,no,19,yes - on mobile devices
akça2021,A comprehensive appraisal of perceptual visual complexity analysis methods in GUI design,"Akça, Eren; Tanriöver, Ömer Özgür",2021,journalArticle,69,,102031,Displays,,Elsevier,10.1016/j.displa.2021.102031,https://doi.org/10.1016/j.displa.2021.102031,"Graphical or Visual User Interface (GUI) is recognized as one of the most important application components for safety critical and business oriented software systems. It is highly advantageous for GUI designers and application developers to analyze the visual complexity of a GUI and predict users’ perception and judgment during the design phase. Although in recent years, various methods have been developed for visual complexity analysis, these have not been widely used due to applicability, practicality and validity issues. In this respect, we have conducted a comprehensive review of studies and methods in visual complexity analysis. After identifying and analyzing 85 research studies, we grouped the visual complexity analysis methods and accordingly a taxonomy is presented. Furthermore, conceptual comparison of the methods is given and gap analysis as well as possible future directions are provided. According to the our findings, major gaps for each visual complexity analysis method may be stated as follows: 1) In metric-model based methods, there is a lack of information about the suitability of the metric-model created for analysis, since the extent to which each metric contributes to visual complexity analysis is still not known exactly. 2) In heuristic- based methods, the extracted rule set is not yet extendable enough beyond the use for specific GUIs. 3) While the visual complexity analysis could be considered as a kind of computer vision task, there exist limited studies that does so. Therefore, generalizable solutions based on machine learning techniques seem to be a promising research direction to develop efficient approaches.",Graphical user interface design; GUI evaluation; Visual complexity analysis; Complexity perception,6,Q2,Taxonomy of visual complexity assessment methods,no,-,no
castro2022,Automated Tools for Usability Evaluation: A Systematic Mapping Study,"Castro, John W.; Garnica, Ignacio; Rojas, Luis A.",2022,conferencePaper,13315,,28-46,International Conference on Human-Computer Interaction,HCII,Springer,10.1007/978-3-031-05061-9_3,https://doi.org/10.1007/978-3-031-05061-9_3,"Usability is one of the most critical indicators in determining the quality of a software product. It corresponds to how users can use a software system to achieve specific objectives with effectiveness, efficiency, and satisfaction. A usability evaluation is necessary to ensure that the software system is usable, but this has certain disadvantages (e.g., a high cost of time and budget for the evaluation to be implemented). While these disadvantages can be a bit daunting despite the benefits they provide, some tools can automatically generate and support usability testing. We conducted a systematic mapping study to identify the tools that support automatic usability evaluation. We identified a total of 15 primary studies. In addition, we classify the tools into four categories: measure usability, support usability evaluation, detect usability problems, and correct usability problems. We identified that the automatic evaluation of the usability of web platforms and mobile devices is the most interesting.",Usability; Usability engineering; Automation; Usability evaluation; Evaluation; Tool; Computer software; Automated tools; Software-systems; Budget control; Software products; High costs; Mapping; Systematic mapping studies; Tools for usability evaluation; Usability problems,8,B,Online automated tools to evaluate usability,yes (tool review),15,yes - automated online tools
chromik2020,ML for UX? - An Inventory and Predictions on the Use of Machine Learning Techniques for UX Research,"Chromik, Michael; Lachner, Florian; Butz, Andreas",2020,conferencePaper,,,,Proceedings of the 11th Nordic Conference on Human-Computer Interaction,NordiCHI,ACM,10.1145/3419249.3420163,https://doi.org/10.1145/3419249.3420163,"Machine learning (ML) techniques have successfully been applied to many complex domains. Yet, applying it to UX research (UXR) received little academic attention so far. To better understand how UX practitioners envision the synergies between empathy-focused UX work and data-driven ML techniques, we surveyed 49 practitioners experienced in UX, ML, or both and conducted 13 semi-structured interviews with UX experts. We derived an inventory of ML’s impact on current UXR activities and practitioners’ predictions about its potentials. We learned that ML methods may help to automate mundane tasks, complement decisions with data-driven insights, and enrich UXR with insights from users’ emotional worlds. Challenges may arise from a potential obligation to utilize data and a more restrictive access to user data. We embed our insights into recent academic work on ML for UXR and discuss automated UX evaluation as a promising use case for future research.",machine learning; Machine learning; Human computer interaction; Predictive analytics; Data driven; Semi structured interviews; Machine learning techniques; Academic work; Complex domains; On currents; User data; User experience research; UX research,22,B,Interviews with UX practitioners about the use of ML in UX,no (interviews),-,yes - one related work chapter
jiang2024,"Computational Methodologies for Understanding, Automating, and Evaluating User Interfaces","Jiang, Yue; Lu, Yuwen; Knearem, Tiffany; Kliman-Silver, Clara E; Lutteroth, Christof; Li, Toby Jia-Jun; Nichols, Jeffrey; Stuerzlinger, Wolfgang",2024,conferencePaper,,,,Extended Abstracts of the 2024 CHI Conference on Human Factors in Computing Systems,CHI,ACM,10.1145/3613905.3636316,https://doi.org/10.1145/3613905.3636316,"Building on the success of the first two workshops on user interfaces (UIs) at CHI 2022 and CHI 2023, this workshop aims to advance the research field by further exploring current research trends, such as applying large language models and visual language models. Previous work has explored computational approaches to understanding and adapting UIs using constraint-based optimization models and machine learning-based data-driven approaches. In addition to further delving into these established UI research areas, we aim to trigger the exploration into the application of the latest advancements in general-purpose large language and vision-language models within the UI domain. We will encourage participants to explore novel methods for understanding, automating, and evaluating UIs. The proposed workshop seeks to bring together academic researchers and industry practitioners interested in computational approaches for UIs to discuss the needs and opportunities for future user interface algorithms, models, and applications.",,2,A,Research trends in automation and evaluation of UIs,no (workshop),-,yes
knearem2023,Exploring the future of design tooling: The role of artificial intelligence in tools for user experience professionals,"Knearem, Tiffany; Khwaja, Mohammed; Gao, Yuling; Bentley, Frank; Kliman-Silver, Clara E",2023,conferencePaper,,,,Extended Abstracts of the 2023 CHI Conference on Human Factors in Computing Systems,CHI,ACM,10.1145/3544549.3573874,https://doi.org/10.1145/3544549.3573874,"Recently, artificial intelligence (AI) has been introduced into a variety of consumer applications for creative work. Although AI-driven features in design tooling are nascent, there is growing interest in utilizing AI to support user experience (UX) workflows. In this case study, we surveyed industry UX professionals to understand how they perceive AI-driven assists in their tools, their concerns about accepting AI in design tools and which design-related workflows could be promising for future research. Our results suggest that UX professionals are overall positive about AI-driven features in design tools; looking to AI as a creative partner to iterate with and as an assistant with mundane tasks. We offer practical directions for the future of AI in UX tooling, but caution against developing tools that do not sufficiently address UX professionals’ concerns around bias and trust.",artificial intelligence; Design tools; product design,20,A,Interviews with UX practitioners about the use of ML in UX design,no (interviews),-,no
kuang2023,Crafting Human-AI Collaborative Analysis for User Experience Evaluation,"Kuang, Emily",2023,conferencePaper,,,,Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,CHI,ACM,10.1145/3544549.3577042,https://doi.org/10.1145/3544549.3577042,"AI has been increasingly adopted in user experience (UX) analysis, in which UX evaluators review test recordings to identify usability problems. However, most AI-infused systems apply fully automatic approaches, leading to distrust from UX evaluators. In my dissertation work, we consider AI as assisting, not replacing human judgment. Through an international survey, we investigated the current practices and challenges of UX evaluators and identified an opportunity for AI assistance. We then studied nuanced cooperative work between UX evaluators and AI, by employing either non-interactive visualizations or interactive conversational assistants (CAs). The next steps include building upon our findings about the reactive Q&amp;A dynamic with CAs, by exploring how a proactive approach or a combination of visualizations and CAs may better support UX evaluators. This research will identify interactions and representations that give rise to productive and trusting collaborations with AI.",User experience; Visualization; Usability testing; Human-AI collaboration; Conversational agents; Users' experiences; Human judgments; User experience evaluations; Usability problems; Automatic approaches; Collaborative analysis; International survey,5,A,Survey about data analysis in UX evaluation and conversational assistants,no (survey),-,yes
lecaros2021,Challenges and Opportunities on the Application of Heuristic Evaluations: A Systematic Literature Review,"Lecaros, Adrian; Paz, Freddy; Moquillaza, Arturo",2021,conferencePaper,12779 LNCS,,242 – 261,International Conference on Human-Computer Interaction,HCII,Springer,10.1007/978-3-030-78221-4_17,https://doi.org/10.1007/978-3-030-78221-4_17,"Heuristic evaluation belongs to the usability inspection methods and is considered one of the most popular methods since it allows to discover over 75% of the total usability problems involving only 3 to 5 usability experts, in comparison with user tests. However, certain problems and challenges have been identified at the time of their execution. In this study we present the results of conducting a Systematic Literature Review (SLR) to identify case studies, challenges, problems, and opportunities on the execution of heuristic evaluations in the context of a research for the automation and formalization of the process. For this SLR, we have employed the protocol proposed by Kitchenham and Charters. The research was carried out on September 7 of 2020 and retrieved a total of 167 studies of which 37 were selected for this review. The results show that the main challenges are related to the low suitability of the chosen set of heuristics and the low expertise of usability evaluators. Additionally, we have identified that exist very few software solutions that support and automate the process. Finally, we have found that there were many protocols to follow when applying a heuristic evaluation, like the definition of new usability heuristics for a given case of study. According to the results obtained, we can conclude that it is necessary to develop and validate a tool based on a formal protocol that supports and automate the heuristic evaluation process, that gives solutions to the challenges and opportunities identified in this research. © 2021, Springer Nature Switzerland AG.",Case-studies; Challenge; Heuristic evaluation; Heuristic methods; Human computer interaction; Inspection methods; Opportunity; Problems and challenges; Systematic literature review; Usability engineering; Usability inspection; Usability problems; User tests,11,B,Heuristic evaluation applications,yes,37,no
lima2022,Assessing the Visual Esthetics of User Interfaces: A Ten-Year Systematic Mapping,"Lima, Adriano Luiz de Souza; Gresse von Wangenheim, Christiane",2022,journalArticle,38,2,144–164,International Journal of Human–Computer Interaction,,Taylor and Francis,10.1080/10447318.2021.1926118,https://doi.org/10.1080/10447318.2021.1926118,"Visual esthetics is recognized as an essential factor of perceived usability, credibility, and overall quality of software systems user interfaces. Thus, it is crucial to assess this factor as part of the development process to improve graphical user interface (GUI) quality. And, although there exist diverse approaches to assess visual esthetics today, they significantly differ in their definition and techniques for measuring it. Therefore, we performed a systematic mapping to provide an overview comparing the existing approaches from the last ten years (2010–2020). We encountered 27 articles reporting different approach types, including assessments measuring user perception of visual esthetics via human responses, metrics based on GUI elements, extracting handcrafted features from GUI screenshots, and deep-learning-based approaches. Most of them implement objective approaches, either using metrics or feature extraction. The majority of the approaches are aimed at web GUIs, with only three focusing on mobile GUIs, considering their smaller screen size, less use of color, and a more vertical element alignment. Few approaches have been comprehensively evaluated regarding reliability and validity. These results indicate the need for further research considering the importance of visual esthetics as part of software quality. The results of this study present an overview and comparison of these approaches from the last decade providing a systematic basis for researchers to better understand the challenges for GUI visual esthetics assessments and the enhancement of these approaches.",,38,Q2,Visual aesthetics approaches,yes,27,no
